0,1,2,3,4,5,6,7
-1.3495636,0.1907483,-0.24439737,-0.7451899,-0.27000678,0.2142252,-1.1071061,-1.5695949
-0.64612305,0.17850028,-0.6105399,0.5660158,2.407763,0.12088638,-1.0552945,-0.18874757
0.22526953,-0.71504205,0.22307748,-0.4372493,0.81963557,2.4877048,-1.5266961,0.31377053
-0.59783924,-0.2801982,0.03059411,-0.15637922,-0.0253115,1.2994895,1.3783715,-0.14588952
-0.6684294,-0.46023223,0.43737793,0.010195255,-1.8550446,-1.0512666,-1.1539359,1.9559946
-0.35250035,0.39422032,0.6115378,-1.2883525,0.6336754,1.1193086,0.7527487,1.7033261
-1.3039646,-0.05622465,-0.34919196,-0.6068363,0.5494688,-1.1275941,-0.19235831,-0.10863482
0.11507586,0.20090368,0.2852354,0.3275524,1.0807604,-0.701786,-0.3742559,-0.8925059
0.15505265,0.56585085,0.27157187,1.5580925,-1.6558907,0.4027193,1.4983381,0.5200641
0.26398328,-0.52031016,0.15731996,1.5796844,1.538517,-0.2510337,-0.042616695,-1.5247569
1.3860157,0.42252865,-0.009484708,0.9521956,0.3979308,-0.5500921,0.887775,-0.11410109
0.4419399,-0.63591516,0.16266665,0.2568967,0.8904723,-0.4322474,0.091868654,0.11236189
0.9514072,-0.38216388,-0.16149656,0.50761306,-0.5979824,-1.459736,0.90387046,-1.5675892
