mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
-0.8237425,0.16975757,0.031520728,1.1972152,-5.3166895,-7.45119,-5.0886374,-3.893043
-1.5898317,-0.28726867,0.29104412,0.10379186,-5.00449,-7.585523,-4.8309793,-3.6525278
0.41342366,-0.010647045,1.792037,-0.95631164,-4.6638217,-7.367301,-4.3625984,-3.9464588
1.7844561,-0.20732877,-0.07704108,-0.5503159,-4.2098675,-7.505313,-3.794975,-4.7161307
-1.5910307,0.99265265,-1.3517907,0.07924917,-4.4185247,-6.9715843,-4.6157002,-4.8477902
1.2421824,-0.1391062,-1.0757828,1.3215954,-4.8312383,-6.9214296,-4.162922,-4.3780336
-1.4150478,0.98539186,0.56851935,0.046415776,-4.9468117,-6.3174286,-5.078228,-3.9564013
0.0016492046,-1.41169,-0.42495027,0.44774044,-5.9718933,-5.087335,-4.9970627,-4.5911684
-1.6190995,0.6246027,-0.48472235,-0.6925968,-4.5477505,-7.326805,-4.430458,-4.493855
-1.1365349,-0.48219877,0.6002871,0.0052838027,-5.562804,-7.088096,-5.045307,-3.749475
0.50095963,-0.47219908,1.6399411,0.4566595,-5.2822027,-6.814091,-4.8555756,-3.9335618
0.19144842,1.1284304,1.8469124,-1.5031168,-4.587142,-6.35759,-4.3014307,-3.9127164
1.6186036,-0.62495625,1.0557559,0.7502692,-4.534461,-6.4094887,-4.344372,-4.1358657
-0.66395956,-0.5456517,-0.09252569,0.6335037,-5.7630253,-6.7896,-5.179939,-4.19326
-1.9164695,0.3132623,-0.15619522,-1.547343,-4.2854443,-7.486749,-3.8907993,-4.1855736
0.045432944,-2.3979716,-1.0035352,-1.2475126,-5.110902,-3.6661754,-3.873608,-4.8407493
-0.38126627,0.45896953,-0.7254645,-0.037182182,-5.226057,-6.9192877,-4.8024487,-4.8909945
1.0415595,0.6330322,-0.47948834,0.09889874,-4.9769373,-6.9341617,-4.3598523,-5.0673084
-0.3632258,-1.2261614,-1.2268099,-1.2312217,-5.3594017,-5.671893,-4.3988323,-5.461429
-0.17532432,-1.1475645,-0.51418954,0.3032782,-6.06606,-5.6566153,-5.110693,-4.7609468
-0.77389824,-0.93990946,-1.4826739,-1.2968876,-4.7869616,-6.1185255,-4.203964,-5.3375607
0.8858632,-0.32904702,-0.45501363,-0.36855438,-5.2610006,-7.365674,-4.430996,-4.966274
0.16813469,-0.69238603,1.1170905,-0.94740486,-5.601057,-6.8310876,-4.791319,-4.4231043
-0.037443988,-1.6528025,1.2049172,-1.6858519,-4.922043,-5.3195615,-4.201748,-4.3482513
0.77374107,-1.1146107,-0.5253233,-0.784613,-5.818266,-6.0531087,-4.6157584,-5.286001
0.2991818,-0.27425867,0.61062324,1.7034625,-5.6660814,-7.2484226,-5.285426,-4.198033
-0.7706072,1.3853652,-1.4698997,1.1500957,-4.4493694,-5.1070824,-4.6006618,-4.7465277
-0.22742614,0.48837087,-0.80642074,0.47690433,-5.3090725,-6.923931,-4.8998156,-4.878373
1.3222947,-1.2307853,-0.19082353,-0.8001224,-5.4810963,-6.0273237,-4.376084,-4.9222236
-2.6987805,-0.71947557,1.0203475,0.50075406,-4.7182345,-6.8578625,-4.8310184,-2.9919395
0.63100046,-0.70424557,1.1053768,0.7225725,-5.4997826,-6.665025,-5.0276423,-4.2056937
1.2802647,1.2918938,-0.46611983,0.4782719,-4.815217,-6.257728,-4.268651,-4.8643975
1.0649592,-2.111993,-0.44256034,-0.8653505,-5.305046,-4.3504333,-4.044511,-4.6389647
0.7239024,0.17157193,0.9196989,2.0301507,-4.945178,-7.487566,-4.855611,-3.9520621
0.37486824,0.54202336,0.7554981,1.3058391,-5.158454,-7.516549,-4.904374,-4.2622356
1.4646572,0.06480406,-0.25262943,0.29972637,-4.5822105,-7.4063735,-4.063916,-4.793507
0.6647429,2.2335494,-0.9349332,0.11702135,-4.644668,-3.7887368,-3.9608316,-4.640752
-0.25350404,1.4302481,0.9666372,0.26265627,-5.053955,-5.8601284,-4.7439065,-3.787519
1.1651952,-1.1687983,-0.2499456,-0.37678438,-5.6948566,-5.991903,-4.6189556,-4.999659
0.7131839,-0.01731489,0.4007728,-0.08795497,-5.1219807,-7.3760977,-4.498309,-4.5226326
-1.8087435,0.57232,-1.8399419,0.3200804,-3.887752,-7.1776924,-4.3777447,-4.676107
-1.3433867,-0.7029688,0.15785089,-1.6453524,-4.871681,-6.927024,-4.2231894,-4.4079742
-0.731951,0.28431815,-1.9124706,-1.9361081,-4.5362716,-7.1367426,-3.375533,-5.207929
0.3193404,1.9234611,-0.9464887,-1.5457264,-4.8680563,-4.2578516,-3.8710034,-4.835529
-0.850273,-0.37454617,0.12334463,-1.1020929,-5.2959337,-7.1469374,-4.506874,-4.3266153
1.0196446,1.2984437,-1.3996062,1.2256453,-4.6710286,-5.5355687,-4.065935,-4.2696404
-0.5629649,1.6263734,1.4346519,0.4241956,-4.8514776,-5.5739436,-4.771903,-3.3746433
